date,restaurant_id,restaurant_location,item_id,item_name,category,units_sold,selling_price,discount,promotion_flag,day_of_week,weekend_flag,holiday_flag,weather_condition,temperature,special_event,inventory_available,waste_units,stockout_flag,true_demand
2025-01-01,R01,Bengaluru - Koramangala,I01,Chicken Biryani,Biryani & Rice,199,249.0,0.0,0,2,0,1,Rainy,17.0,0,199,0,1,218
2025-01-01,R01,Bengaluru - Koramangala,I02,Veg Biryani,Biryani & Rice,48,199.0,0.0,0,2,0,1,Rainy,17.0,0,89,41,0,48
2025-01-01,R01,Bengaluru - Koramangala,I03,Mutton Biryani,Biryani & Rice,35,329.0,0.0,0,2,0,1,Rainy,17.0,0,63,28,0,35
2025-01-01,R01,Bengaluru - Koramangala,I04,Jeera Rice,Biryani & Rice,27,149.0,0.0,0,2,0,1,Rainy,17.0,0,56,29,0,27
2025-01-01,R01,Bengaluru - Koramangala,I05,Butter Chicken,Main Course,88,269.0,0.0,0,2,0,1,Rainy,17.0,0,118,30,0,88
2025-01-01,R01,Bengaluru - Koramangala,I06,Paneer Butter Masala,Main Course,75,229.0,0.0,0,2,0,1,Rainy,17.0,0,121,46,0,75
2025-01-01,R01,Bengaluru - Koramangala,I07,Dal Makhani,Main Course,50,179.0,0.0,0,2,0,1,Rainy,17.0,0,81,31,0,50
2025-01-01,R01,Bengaluru - Koramangala,I08,Chicken Tikka Masala,Main Course,74,259.0,0.0,0,2,0,1,Rainy,17.0,0,149,75,0,74
2025-01-01,R01,Bengaluru - Koramangala,I09,Palak Paneer,Main Course,34,209.0,0.0,0,2,0,1,Rainy,17.0,0,67,33,0,34
2025-01-01,R01,Bengaluru - Koramangala,I10,Kadai Chicken,Main Course,37,249.0,0.0,0,2,0,1,Rainy,17.0,0,63,26,0,37
2025-01-01,R01,Bengaluru - Koramangala,I11,Butter Naan,Breads,117,45.0,0.0,0,2,0,1,Rainy,17.0,0,212,95,0,117
2025-01-01,R01,Bengaluru - Koramangala,I12,Garlic Naan,Breads,53,55.0,0.0,0,2,0,1,Rainy,17.0,0,120,67,0,53
